frp,mv
0.004014049172102358,0.0032
0.0104425658876181,0.0084
0.002932551319648094,0.0023
0.0069823536879522665,0.0055
0.00409683426443203,0.0033
0.004635842381359034,0.0038
0.009003376266099787,0.0072
0.006331425788384269,0.0052
0.004569593676670372,0.0037
0.015680264088658337,0.0133
0.07334109429569266,0.0567
0.08039769240211121,0.0655
0.11626158857429215,0.0928
0.1774037297166384,0.1465
0.07213488843813387,0.0569
0.12000493339911199,0.0973
0.10467029489937983,0.0827
0.17548135510601998,0.144
0.04378326076439284,0.0362
0.15918723510346547,0.1277
0.10177095631641087,0.0862
0.27401886572726214,0.2353
0.2944065157503893,0.2458
0.2607929515418502,0.2072
0.26337251139361956,0.2196
0.33506274131274133,0.2777
0.4527568617925674,0.3728
0.35944353929063794,0.2868
0.3263598326359833,0.2652
0.23515325670498086,0.1964
0.18268186753528773,0.1346
0.21838235294117647,0.1782
0.19455852156057496,0.1516
0.22082054778952154,0.1943
0.3481169474727453,0.281
0.33459889773423146,0.2732
0.4210590235608453,0.3467
0.2865175406429532,0.2344
0.3433353998760074,0.2769
0.4475816351583599,0.3646
0.4085764587525151,0.3249
0.3345074699380542,0.2754
0.3807183807183807,0.3254
0.3429401510749564,0.2951
0.5433309126119583,0.4489
0.35656227587855605,0.2983
0.34278505346629823,0.2853
0.42977015687705217,0.3534
0.600295166646169,0.4881
0.3701941139636819,0.2956
0.7180121152181975,0.5808
0.611319340329835,0.4893
0.5738581146744413,0.4724
0.49412334908518113,0.4078
0.5833129733691669,0.4775
0.46653639472398634,0.382
0.7474878827284549,0.6323
0.8350983358547656,0.7176
0.46274181991879626,0.3875
0.49011562849682955,0.3942
